Time [s],Channel 0
12.407477300,0
12.407494000,1
12.407522300,0
12.407531300,1
12.407540100,0
12.407556800,1
12.407582600,0
12.407598900,1
12.407619100,0
12.407653300,1
12.407662000,0
12.407695200,1
12.407715300,0
12.407732700,1
12.407758700,0
12.407766900,1
12.407775700,0
12.407791900,1
12.407812000,0
12.407846300,1
12.407863600,0
12.407880300,1
12.407908600,0
12.407926100,1
12.407934700,0
12.407943100,1
12.407968900,0
12.407985200,1
12.408005400,0
12.408014400,1
12.408023100,0
12.408039800,1
12.408048600,0
12.408056800,1
12.408102200,0
12.408153400,1
12.408162100,0
12.408178400,1
12.408198500,0
12.408258000,1
12.408295000,0
12.408354500,1
12.408391300,0
12.408408800,1
12.408451900,0
12.408468100,1
12.408488200,0
12.408497300,1
12.408514500,0
12.408522900,1
12.408531500,0
12.408548300,1
12.408585100,0
12.408611000,1
12.408619700,0
12.408653300,1
12.408681600,0
12.408699000,1
12.408750600,0
12.408758500,1
12.408778600,0
12.408804500,1
12.408821800,0
12.408830100,1
12.408847300,0
12.408855300,1
12.408875300,0
12.408918100,1
12.409536800,0
12.409545300,1
12.409554000,0
12.409562500,1
12.409571200,0
12.409579700,1
12.409588400,0
12.409605500,1
12.442846300,0
12.442855400,1
12.442864000,0
12.442872400,1
12.442889600,0
12.442906400,1
12.442915000,0
12.442923000,1
12.442943000,0
12.442952100,1
12.442969400,0
12.442986100,1
12.442994900,0
12.443003100,1
12.443011900,0
12.443019700,1
12.443039900,0
12.443048900,1
12.443074700,0
12.443116300,1
12.443136400,0
12.443145400,1
12.443154100,0
12.443170900,1
12.443188100,0
12.443196400,1
12.443233300,0
12.443284400,1
12.443293100,0
12.443309400,1
12.443329500,0
12.443355400,1
12.443372600,0
12.443381000,1
12.443426300,0
12.443435400,1
12.443469900,0
12.443486600,1
12.443523400,0
12.443549300,1
12.443557900,0
12.443566300,1
12.443592100,0
12.443600000,1
12.443620100,0
12.443654400,1
12.443716900,0
12.443734400,1
12.443743100,0
12.443759800,1
12.443813800,0
12.443831200,1
12.443840000,0
12.443865100,1
12.443910500,0
12.443927900,1
12.443936600,0
12.443944900,1
12.443979300,0
12.443987200,1
12.444007400,0
12.444016400,1
12.444025000,0
12.444041800,1
12.444050400,0
12.444075600,1
12.444103800,0
12.444121300,1
12.444164300,0
12.444172600,1
12.444200800,0
12.444209900,1
12.444218600,0
12.444226900,1
12.444244200,0
12.444252500,1
12.444269700,0
12.444277600,1
12.444297700,0
12.444315200,1
12.444323900,0
12.444340600,1
12.444357800,0
12.444366200,1
12.444394400,0
12.444403500,1
12.444420800,0
12.444429000,1
12.444446300,0
12.444454600,1
12.444463300,0
12.444471200,1
12.444491300,0
12.444508800,1
12.444526000,0
12.444567600,1
12.444587700,0
12.444613600,1
12.444622400,0
12.444630600,1
12.444639400,0
12.444647600,1
12.444656400,0
12.444664200,1
12.444684400,0
12.444693400,1
12.444719200,0
12.444735900,1
12.444753200,0
12.444761100,1
12.444781200,0
12.444807100,1
12.444815800,0
12.444824100,1
12.444841400,0
12.444849700,1
12.444877900,0
12.444895400,1
12.444904100,0
12.444920800,1
12.445535200,0
12.445543700,1
12.445569600,0
12.445578100,1
12.445586800,0
12.445603900,1
12.478846600,0
12.478855600,1
12.478864300,0
12.478872600,1
12.478889900,0
12.478906600,1
12.478915300,0
12.478923200,1
12.478943300,0
12.478960800,1
12.478969400,0
12.478977800,1
12.478986400,0
12.479003200,1
12.479011800,0
12.479019800,1
12.479039800,0
12.479048900,1
12.479074800,0
12.479116300,1
12.479136500,0
12.479145500,1
12.479154200,0
12.479170900,1
12.479179700,0
12.479196300,1
12.479233200,0
12.479284300,1
12.479293000,0
12.479309300,1
12.479329400,0
12.479355300,1
12.479372600,0
12.479380800,1
12.479389500,0
12.479405800,1
12.479425900,0
12.479451800,1
12.479486200,0
12.479502500,1
12.479522700,0
12.479548500,1
12.479557100,0
12.479582300,1
12.479619100,0
12.479628200,1
12.479636800,0
12.479645200,1
12.479688100,0
12.479696100,1
12.479716100,0
12.479733600,1
12.479768000,0
12.479776300,1
12.479813100,0
12.479855900,1
12.479881800,0
12.479889600,1
12.479909700,0
12.479935600,1
12.479952800,0
12.479977900,1
12.480006300,0
12.480040500,1
12.480049200,0
12.480082300,1
12.480102400,0
12.480128300,1
12.480136900,0
12.480145300,1
12.480153900,0
12.480170700,1
12.480198900,0
12.480241600,1
