Time [s],Channel 0,Channel 1
102.588099500,0,0
102.589042600,1,0
102.589257100,0,0
102.589571900,1,0
102.589676600,0,0
102.590200500,1,0
102.590415400,0,0
102.590729600,1,0
102.590939600,0,0
102.591044500,1,0
102.591254500,0,0
102.591359000,1,0
102.591712600,0,0
102.591820300,1,0
102.592859000,0,0
102.592965900,1,0
102.594004600,0,0
102.594110800,1,0
102.594213100,0,0
102.594942900,1,0
102.595149500,0,0
102.595360700,1,0
102.595566500,0,0
102.596088400,1,0
102.596295100,0,0
102.597233500,1,0
102.597440700,0,0
102.597547500,1,0
102.597753600,0,0
102.598379400,1,0
102.598586600,0,0
102.598693000,1,0
102.598795100,0,0
102.599213100,1,0
102.599314900,0,0
102.599524900,1,0
102.599732100,0,0
102.599838500,1,0
102.599940700,0,0
102.600670600,1,0
102.600877500,0,0
102.601296300,1,0
102.601398100,0,0
102.601816100,1,0
102.602022800,0,0
102.602129200,1,0
102.602335200,0,0
102.602441400,1,0
102.602543200,0,0
102.602753300,1,0
102.608041100,0,0
102.918314400,1,0
102.923315900,0,0
102.923420100,1,0
102.924471300,0,0
102.924575700,1,0
102.925626600,0,0
102.925731400,1,0
102.925836600,0,0
102.926570400,1,0
102.926783500,0,0
102.927098500,1,0
102.927203200,0,0
102.927727400,1,0
102.927940200,0,0
102.928149400,1,0
102.928254700,0,0
102.928359600,1,0
102.928464300,0,0
102.928779200,1,0
102.929096100,0,0
102.930039600,1,0
102.930254100,0,0
102.930568900,1,0
102.930673600,0,0
102.931197500,1,0
102.931412400,0,0
102.931726700,1,0
102.931936600,0,0
102.932041600,1,0
102.932251600,0,0
102.932356000,1,0
102.932710000,0,0
102.932817700,1,0
102.933856400,0,0
102.933962800,1,0
102.935001600,0,0
102.935107800,1,0
102.935210000,0,0
102.935939800,1,0
102.936146600,0,0
102.936357300,1,0
102.936563100,0,0
102.937085000,1,0
102.937291800,0,0
102.938230000,1,0
102.938437500,0,0
102.938543700,1,0
102.938749800,0,0
102.939375700,1,0
102.939582900,0,0
102.939689300,1,0
102.939791400,0,0
102.940209500,1,0
102.940311300,0,0
102.940521300,1,0
102.940728400,0,0
102.940834800,1,0
102.940937000,0,0
102.941666800,1,0
102.941873900,0,0
102.942292700,1,0
102.942394500,0,0
102.942812500,1,0
102.943019000,0,0
102.943125900,1,0
102.943332100,0,0
102.943438200,1,0
102.943540000,0,0
102.943750100,1,0
102.949037400,0,0
103.238305700,1,0
103.243308700,0,0
103.243413600,1,0
103.244465000,0,0
103.244568800,1,0
103.245620800,0,0
103.245725000,1,0
103.245829800,0,0
103.246563500,1,0
103.246776200,0,0
103.247090600,1,0
103.247195900,0,0
103.247720000,1,0
103.247932900,0,0
103.248142300,1,0
103.248247600,0,0
103.248352100,1,0
103.248457400,0,0
103.248771900,1,0
103.249089200,0,0
103.250032500,1,0
103.250247200,0,0
103.250561600,1,0
103.250666900,0,0
103.251190800,1,0
103.251405600,0,0
103.251719900,1,0
103.251929900,0,0
103.252034800,1,0
103.252244900,0,0
103.252349300,1,0
103.252701200,0,0
103.252808900,1,0
103.253847400,0,0
103.253954300,1,0
103.254992800,0,0
103.255099000,1,0
